UTC,RA,DEC,RAERR,DECERR
2019-08-07T01:11:59.512,234.0457816,56.86609662,0.007114720681240196,0.003888889
2019-08-07T01:12:56.939,244.1068873,58.36490674,0.0074143632184880725,0.003888889
2019-08-07T01:16:46.174,298.7177658,52.01615483,0.006318883448935199,0.003888889
2019-08-07T01:15:49.212,284.8175958,56.2684607,0.007003192616393716,0.003888889
2019-08-07T01:14:51.812,270.1848175,58.54320438,0.007452042150549774,0.003888889
2019-08-07T01:13:54.361,256.2408856,59.08396839,0.007569152149820221,0.003888889
2019-08-08T00:17:58.530,243.64806,72.8558856,0.013192315917679137,0.00388878
2019-08-08T00:18:56.299,268.505482,73.7987752,0.013937698384129909,0.00388878
2019-08-08T00:22:45.806,336.176125,51.0729875,0.006189073644724695,0.00388878
2019-08-08T00:20:51.466,314.132994,66.4306328,0.00972537702246945,0.00388878
2019-08-08T00:19:53.306,294.146608,71.6518828,0.01235358175902646,0.00388878
2019-08-08T00:21:48.306,327.188926,59.3517307,0.007628553385878472,0.00388878
